ds,Population
2049-08-01,9927816175.910212
2049-09-01,9933755740.268272
2049-10-01,9939503705.776075
2049-11-01,9945443270.134136
2049-12-01,9951191235.641937
2050-01-01,9957130800.0
2050-02-01,9962370165.854326
2050-03-01,9967102496.303396
2050-04-01,9972341862.157722
2050-05-01,9977412216.210297
2050-06-01,9982651582.064623
2050-07-01,9987721936.117195
2050-08-01,9992961301.971523
2050-09-01,9998200667.82585
2050-10-01,10003271021.878424
2050-11-01,10008510387.73275
2050-12-01,10013580741.785322
2051-01-01,10018820107.63965
2051-02-01,10024059473.493977
2051-03-01,10028791803.943045
2051-04-01,10034031169.79737
2051-05-01,10039101523.849945
2051-06-01,10044340889.704271
2051-07-01,10049411243.756845
2051-08-01,10054650609.611172
2051-09-01,10059889975.465498
2051-10-01,10064960329.518072
2051-11-01,10070199695.372398
2051-12-01,10075270049.424973
2052-01-01,10080509415.279299
2052-02-01,10085748781.133625
2052-03-01,10090650123.384447
2052-04-01,10095889489.238773
2052-05-01,10100959843.291348
2052-06-01,10106199209.145674
2052-07-01,10111269563.198248
2052-08-01,10116508929.052574
2052-09-01,10121748294.9069
2052-10-01,10126818648.959475
2052-11-01,10132058014.8138
2052-12-01,10137128368.866375
2053-01-01,10142367734.720701
2053-02-01,10147607100.575027
2053-03-01,10152339431.024096
2053-04-01,10157578796.878424
2053-05-01,10162649150.930996
2053-06-01,10167888516.785322
2053-07-01,10172958870.837896
2053-08-01,10178198236.692223
2053-09-01,10183437602.54655
2053-10-01,10188507956.599123
2053-11-01,10193747322.45345
2053-12-01,10198817676.506023
2054-01-01,10204057042.36035
2054-02-01,10209296408.214678
2054-03-01,10214028738.663746
2054-04-01,10219268104.518072
2054-05-01,10224338458.570646
2054-06-01,10229577824.424973
2054-07-01,10234648178.477547
2054-08-01,10239887544.331873
2054-09-01,10245126910.1862
2054-10-01,10250197264.238773
2054-11-01,10255436630.0931
2054-12-01,10260506984.145674
2055-01-01,10265746350.0
2055-02-01,10270985715.854326
2055-03-01,10275718046.303396
2055-04-01,10280957412.157722
2055-05-01,10286027766.210297
2055-06-01,10291267132.064623
2055-07-01,10296337486.117195
2055-08-01,10301576851.971523
