ds,Consumption
2035-11-01,215704.2585131288
2035-12-01,215906.52318753625
2036-01-01,216115.5300177573
2036-02-01,216324.5368479783
2036-03-01,216520.05936657218
2036-04-01,216729.0661967932
2036-05-01,216931.33087120065
2036-06-01,217140.3377014217
2036-07-01,217342.60237582913
2036-08-01,217551.60920605017
2036-09-01,217760.61603627118
2036-10-01,217962.88071067864
2036-11-01,218171.88754089968
2036-12-01,218374.1522153071
2037-01-01,218583.15904552815
2037-02-01,218792.16587574917
2037-03-01,218980.94623852946
2037-04-01,219189.9530687505
2037-05-01,219392.21774315793
2037-06-01,219601.22457337898
2037-07-01,219803.4892477864
2037-08-01,220012.49607800745
2037-09-01,220221.50290822846
2037-10-01,220423.76758263592
2037-11-01,220632.77441285696
2037-12-01,220835.0390872644
2038-01-01,221044.04591748543
2038-02-01,221253.05274770645
2038-03-01,221441.83311048674
2038-04-01,221650.83994070778
2038-05-01,221853.1046151152
2038-06-01,222062.11144533625
2038-07-01,222264.37611974368
2038-08-01,222473.38294996473
2038-09-01,222682.38978018577
2038-10-01,222884.6544545932
2038-11-01,223093.66128481424
2038-12-01,223295.92595922167
2039-01-01,223504.9327894427
2039-02-01,223713.93961966372
2039-03-01,223902.71998244402
2039-04-01,224111.72681266506
2039-05-01,224313.9914870725
2039-06-01,224522.99831729353
2039-07-01,224725.262991701
2039-08-01,224934.269821922
2039-09-01,225143.27665214305
2039-10-01,225345.54132655048
2039-11-01,225554.54815677152
2039-12-01,225756.81283117895
2040-01-01,225965.8196614
2040-02-01,226139.62752317026
2040-03-01,226302.22197450374
2040-04-01,226476.029836274
2040-05-01,226644.23099282588
2040-06-01,226818.03885459615
2040-07-01,226986.24001114804
2040-08-01,227160.0478729183
2040-09-01,227333.85573468858
2040-10-01,227502.05689124044
2040-11-01,227675.8647530107
2040-12-01,227844.0659095626
2041-01-01,228017.87377133287
2041-02-01,228191.68163310314
2041-03-01,228348.66937921822
2041-04-01,228522.4772409885
2041-05-01,228690.67839754038
2041-06-01,228864.48625931065
2041-07-01,229032.6874158625
2041-08-01,229206.49527763278
2041-09-01,229380.30313940305
2041-10-01,229548.50429595495
2041-11-01,229722.31215772522
2041-12-01,229890.51331427708
2042-01-01,230064.32117604735
2042-02-01,230238.12903781762
2042-03-01,230395.1167839327
2042-04-01,230568.92464570297
2042-05-01,230737.12580225486
2042-06-01,230910.93366402513
2042-07-01,231079.134820577
2042-08-01,231252.94268234726
2042-09-01,231426.75054411753
2042-10-01,231594.95170066942
2042-11-01,231768.7595624397
2042-12-01,231936.96071899156
2043-01-01,232110.76858076183
2043-02-01,232284.5764425321
2043-03-01,232441.5641886472
2043-04-01,232615.37205041747
2043-05-01,232783.57320696933
2043-06-01,232957.3810687396
2043-07-01,233125.5822252915
2043-08-01,233299.39008706177
2043-09-01,233473.19794883204
2043-10-01,233641.3991053839
2043-11-01,233815.20696715417
2043-12-01,233983.40812370603
2044-01-01,234157.21598547633
2044-02-01,234331.0238472466
2044-03-01,234493.61829858006
2044-04-01,234667.42616035033
2044-05-01,234835.62731690222
2044-06-01,235009.4351786725
2044-07-01,235177.63633522435
2044-08-01,235351.44419699462
2044-09-01,235525.2520587649
2044-10-01,235693.45321531678
2044-11-01,235867.26107708705
2044-12-01,236035.46223363891
2045-01-01,236209.27009540919
2045-02-01,236383.07795717946
